Azerbaijan, 28094, 1632.21
Azerbaijan, 18067, 1618.68
Azerbaijan, 10758, 643.56
Azerbaijan, 6013, 44.38
Azerbaijan, 1341, 680.76
Azerbaijan, 1072, 279.47
Azerbaijan, 10233, 403.13
Azerbaijan, 6598, 515.63
Azerbaijan, 13952, 472.52
Azerbaijan, 12448, 553.37
Azerbaijan, 12248, 497.86
Azerbaijan, 15944, 1055.59
Azerbaijan, 20462, 1518.69
Azerbaijan, 19328, 1764.2
Azerbaijan, 19077, 696.97
Azerbaijan, 18998, 1118.69
Azerbaijan, 20022, 1843.82
Azerbaijan, 26682, 1271.41
Azerbaijan, 22558, 1271.81
Azerbaijan, 20627, 326.26
Azerbaijan, 26688, 1811.49
Azerbaijan, 40794, 888.82
Azerbaijan, 35903, 1678.81
Azerbaijan, 32464, 1971.39
Azerbaijan, 29531, 457.5
Azerbaijan, 29152, 961.4
Azerbaijan, 34681, 73.71
Azerbaijan, 37614, 760.32
Azerbaijan, 37392, 356.2
Azerbaijan, 37222, 718.41
Azerbaijan, 38970, 1707.76
Azerbaijan, 43544, 135.9
Azerbaijan, 42162, 1645.23
Azerbaijan, 41120, 1149.42
Azerbaijan, 41011, 400.17
Azerbaijan, 43186, 907.06
Azerbaijan, 48780, 310.49
Azerbaijan, 48724, 1860.67
Azerbaijan, 47312, 771.18
Azerbaijan, 48976, 202.23
Italy, 28300, 1949.88
Italy, 12718, 369.99
Italy, 7819, 1709.37
Italy, 4274, 1517.21
Italy, 908, 1037.23
Italy, 856, 713.01
Italy, 7811, 1648.68
Italy, 7379, 448.12
Italy, 12129, 1226.24
Italy, 10755, 1584.57
Italy, 8868, 1409.96
Italy, 12246, 1674.32
Italy, 21007, 838.77
Italy, 17655, 1960.46
Italy, 16525, 1293.36
Italy, 16146, 815.05
Italy, 19274, 484.8
Italy, 24827, 997.06
Italy, 22024, 259.93
Italy, 21224, 1679.83
Italy, 25688, 703.17
Italy, 42092, 233.26
Italy, 32503, 1338.87
Italy, 30460, 489.53
Italy, 30255, 1716.15
Italy, 28398, 1244.45
Italy, 31252, 1323.61
Italy, 40717, 345.72
Italy, 39189, 1967.44
Italy, 34779, 1849.86
Italy, 41843, 943.93
Italy, 44650, 1119.21
Italy, 44225, 1382.65
Italy, 42790, 1007.86
Italy, 42743, 1971.33
Italy, 44387, 488.65
Italy, 48001, 1319.59
Italy, 46139, 1891.79
Italy, 45434, 1144.27
Italy, 48407, 551.42
Ukraine, 22083, 945.08
Ukraine, 15373, 1587.16
Ukraine, 11563, 21.54
Ukraine, 6974, 255.01
Ukraine, 4909, 1612.87
Ukraine, 241, 1634.48
Ukraine, 9316, 1375.54
Ukraine, 8794, 1438.04
Ukraine, 14383, 1471.47
Ukraine, 14304, 16.86
Ukraine, 11961, 763.06
Ukraine, 14821, 367.84
Ukraine, 16458, 1553.31
Ukraine, 16176, 1162.04
Ukraine, 15812, 1304.29
Ukraine, 15673, 326.24
Ukraine, 16206, 1067.37
Ukraine, 21475, 1136.58
Ukraine, 17364, 106.5
Ukraine, 16938, 747.7
Ukraine, 21493, 498.37
Ukraine, 38392, 1106.26
Ukraine, 30345, 65.79
Ukraine, 28378, 1204.13
Ukraine, 27910, 1714.35
Ukraine, 22509, 1533.64
Ukraine, 28717, 739.09
Ukraine, 36679, 1032.41
Ukraine, 32274, 1567.16
Ukraine, 32109, 152.29
Ukraine, 38218, 1214.96
Ukraine, 44450, 857.98
Ukraine, 42582, 167.3
Ukraine, 42315, 1036.11
Ukraine, 41032, 862.12
Ukraine, 43422, 1879.28
Ukraine, 47989, 501.72
Ukraine, 47949, 1842.29
Ukraine, 46660, 1493.91
Ukraine, 49084, 537.14
Germany, 30525, 1289.44
Germany, 18990, 1102.9
Germany, 10456, 1586.09
Germany, 8115, 260.28
Germany, 2386, 74.75
Germany, 988, 1615.46
Germany, 10422, 76.16
Germany, 8709, 16.54
Germany, 16170, 1732.5
Germany, 15434, 1910.15
Germany, 13556, 513.55
Germany, 16327, 1917.7
Germany, 25032, 1138.31
Germany, 24186, 1588.56
Germany, 21944, 465.87
Germany, 19777, 538.43
Germany, 24754, 1620.89
Germany, 26338, 1657.67
Germany, 26304, 480.49
Germany, 25707, 1290.58
Germany, 29495, 1522.64
Germany, 42589, 1069.4
Germany, 32682, 715.15
Germany, 32349, 531.29
Germany, 31868, 864.46
Germany, 31681, 1247.72
Germany, 32664, 1399.47
Germany, 38953, 1043.43
Germany, 38359, 546.29
Germany, 32944, 1167.48
Germany, 40359, 303.93
Germany, 47301, 868.16
Germany, 44559, 1132.5
Germany, 43755, 1638.1
Germany, 43366, 1139.25
Germany, 45890, 1111.43
Germany, 48362, 807.31
Germany, 47961, 817.85
Germany, 47933, 60.46
Germany, 49528, 1966.02
Australia, 25222, 13.56
Australia, 13501, 1941.85
Australia, 7121, 207.66
Australia, 4655, 839.23
Australia, 1570, 1573.7
Australia, 1428, 1979.22
Australia, 5439, 116.8
Australia, 5211, 932.65
Australia, 12150, 1707.11
Australia, 11162, 1169.74
Australia, 7250, 977.96
Australia, 13033, 1263.56
Australia, 17816, 353.41
Australia, 17043, 414.37
Australia, 16970, 990.38
Australia, 14456, 1929.28
Australia, 17411, 1570.14
Australia, 22525, 1382.84
Australia, 20703, 1241.86
Australia, 19363, 1607.57
Australia, 22782, 601.26
Australia, 40095, 353.64
Australia, 32164, 757.81
Australia, 30574, 1416.45
Australia, 27559, 116.78
Australia, 25628, 551.04
Australia, 30943, 97.01
Australia, 34913, 1136.31
Australia, 34459, 53.67
